"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim",0,2640,0.00380228136882129,0.0138248847926267,0.042654028436019,1791421
2017-09-30,"Cook","IL","Chicago",1,1696,0.00118063754427391,0.00712589073634204,0.0125373134328358,1386104
2017-09-30,"Harris","TX","Houston",2,1480,0.0013531799729364,0.00338983050847458,-0.00269541778975741,1058797
2017-09-30,"Maricopa","AZ","Phoenix",3,1382,0.00436046511627907,0.0146842878120411,0.0352059925093633,1253112
2017-09-30,"San Diego","CA","San Diego",4,2554,0.004720692368214,0.0179354324432045,0.048440065681445,744503
2017-09-30,"Orange","CA","Los Angeles-Long Beach-Anaheim",5,3057,0.00328191663931736,0.0173044925124792,0.0444140758455757,742323
2017-09-30,"Kings","NY","New York",6,2400,0.0046044370029301,0.0050251256281407,0.0199745006374841,138826
2017-09-30,"Miami-Dade","FL","Miami-Fort Lauderdale",7,1981,0.00151668351870576,0.0030379746835443,-0.00251762336354481,736481
2017-09-30,"Dallas","TX","Dallas-Fort Worth",8,1485,0.0047361299052774,0.0157318741450068,0.0428370786516854,573394
2017-09-30,"Queens","NY","New York",9,2292,0.00131061598951507,0.0177619893428064,0.0168589174800355,244650
2017-09-30,"Riverside","CA","Riverside",10,1954,0.00566134843026248,0.0140114167099118,0.0654307524536532,588945
2017-09-30,"San Bernardino","CA","Riverside",11,1666,0.00847457627118644,0.0239704978488015,0.0477987421383648,515507
2017-09-30,"Clark","NV","Las Vegas",12,1286,0.0039032006245121,0.0157977883096366,0.0370967741935484,631270
2017-09-30,"King","WA","Seattle",13,2482,0.0040453074433657,0.0134748877092691,0.0446127946127946,590191
2017-09-30,"Wayne","MI","Detroit",14,846,0.00355871886120996,0.00954653937947494,0.0291970802919708,715244
2017-09-30,"Tarrant","TX","Dallas-Fort Worth",15,1521,0.00661813368630046,0.0201207243460765,0.0518672199170125,502687
2017-09-30,"Santa Clara","CA","San Jose",16,3530,0.000566893424036281,0.00369633210122263,-0.00423131170662906,416073
2017-09-30,"Broward","FL","Miami-Fort Lauderdale",17,1788,0,0.00449438202247191,0.0124575311438279,654461
2017-09-30,"Bexar","TX","San Antonio",18,1292,0.00232738557020946,0.00232738557020946,0.0197316495659037,487883
2017-09-30,"New York","NY","New York",19,4104,0.0108374384236453,0.0381988363268404,0.0244633050424363,201346
2017-09-30,"Philadelphia","PA","Philadelphia",20,1210,0.0033167495854063,0.0058187863674148,-0.00329489291598023,477661
2017-09-30,"Alameda","CA","San Francisco",21,3120,0.00224863475746868,0.0139746506337342,0.00677637947725073,369188
2017-09-30,"Middlesex","MA","Boston",22,2505,0.00320384461353624,0.00723763570566948,0.0158150851581509,374224
2017-09-30,"Sacramento","CA","Sacramento",23,1704,0.010077059869591,0.0308529945553539,0.071024512884978,385214
2017-09-30,"Bronx","NY","New York",24,1787,0.00393258426966292,0.0199771689497717,-0.000559284116331096,42046
2017-09-30,"Nassau","NY","New York",25,3007,0.00400667779632721,0.012117132278694,0.0397648686030429,350396
2017-09-30,"Palm Beach","FL","Miami-Fort Lauderdale",26,1945,0.00051440329218107,0.00516795865633075,0.020997375328084,556441
2017-09-30,"Cuyahoga","OH","Cleveland",27,1132,-0.0026431718061674,-0.0139372822299652,-0.00088261253309797,377432
2017-09-30,"Hillsborough","FL","Tampa",28,1430,0.00210231254379818,0.00846262341325811,0.0347322720694645,378136
2017-09-30,"Allegheny","PA","Pittsburgh",29,1169,-0.00595238095238095,-0.0109983079526227,-0.00764006791171477,420863
2017-09-30,"Oakland","MI","Detroit",30,1634,0.00739827373612824,0.0155376009944065,0.00492004920049201,397660
2017-09-30,"Franklin","OH","Columbus",31,1313,0.00690184049079755,0.0138996138996139,0.0241809672386895,357912
2017-09-30,"Hennepin","MN","Minneapolis-St Paul",32,1721,0.00116346713205352,0.0064327485380117,0.0616903146206046,364337
2017-09-30,"Orange","FL","Orlando",33,1473,0.00204081632653061,0.0123711340206186,0.0409893992932862,354383
2017-09-30,"Fairfax","VA","Washington",34,2507,-0.000398724082934609,0.000798403193612774,0.00360288230584468,327857
2017-09-30,"Contra Costa","CA","San Francisco",35,2715,0.00110619469026549,0.0138162808065721,0.0414269275028769,321035
2017-09-30,"Salt Lake","UT","Salt Lake City",36,1598,0.0050314465408805,0.0210862619808307,0.0610889774236388,283343
2017-09-30,"Travis","TX","Austin",37,1836,-0.00108813928182807,-0.00271591526344378,-0.00863930885529158,273838
2017-09-30,"Saint Louis","MO","St. Louis",38,1245,0.000803858520900322,0.0032232070910556,0.017156862745098,372220
2017-09-30,"Pima","AZ","Tucson",39,1182,0.00424808836023789,0.0180878552971576,0.0469441984056687,291105
2017-09-30,"Montgomery","MD","Washington",40,2334,-0.00213766566908935,0.0030081650193382,0.0134607034303083,307676
2017-09-30,"Honolulu","HI","Urban Honolulu",41,2435,-0.00408997955010225,-0.0101626016260163,-0.0133711507293355,265939
2017-09-30,"Westchester","NY","New York",42,3412,-0.000292997363023733,-0.0152958152958153,-0.00553774409793063,182336
2017-09-30,"Milwaukee","WI","Milwaukee",43,1131,-0.00440140845070423,-0.0173761946133797,-0.0173761946133797,119727
2017-09-30,"Fresno","CA","Fresno",44,1299,0.00231481481481481,0.00386398763523957,0.0285035629453682,211464
2017-09-30,"Shelby","TN","Memphis",45,1035,0,0.000967117988394584,0.00387972841901067,285083
2017-09-30,"Fulton","GA","Atlanta",46,1696,0.00414446417998816,0.00892325996430696,0.0411295273173726,282165
2017-09-30,"Mecklenburg","NC","Charlotte",47,1393,0.00360230547550432,0.0138282387190684,0.0411061285500747,323723
2017-09-30,"Erie","NY","Buffalo",48,1308,-0.0060790273556231,-0.0202247191011236,0.0123839009287926,236184
2017-09-30,"Du Page","IL","Chicago",49,1979,0.00151821862348178,0.00712468193384224,0.0421274354923644,297712
2017-09-30,"Fairfield","CT","Stamford",50,2427,-0.00369458128078818,-0.0122100122100122,-0.0105992662046474,252027
2017-09-30,"Pinellas","FL","Tampa",51,1434,0.00139664804469274,0.00985915492957747,0.0220955096222381,364109
2017-09-30,"Bergen","NJ","New York",52,2493,0.00727272727272727,0.0196319018404908,0.0150651465798046,251308
2017-09-30,"Marion","IN","Indianapolis",53,1113,0.00815217391304348,0.0192307692307692,0.00998185117967332,270723
2017-09-30,"Wake","NC","Raleigh",54,1494,0.00201207243460765,-0.00133689839572192,0.0170183798502383,306222
2017-09-30,"Hartford","CT","Hartford",55,1638,0.000610873549175321,-0.00486026731470231,-0.0150330727600722,244398
2017-09-30,"Duval","FL","Jacksonville",56,1207,-0.00165425971877585,0.00499583680266445,0.0220152413209145,285550
2017-09-30,"Prince Georges","MD","Washington",57,1929,0.00155763239875389,0.00783699059561128,0.00625978090766823,263913
2017-09-30,"New Haven","CT","New Haven",58,1664,-0.00299580587177951,-0.00537955768081291,-0.0269005847953216,229550
2017-09-30,"Macomb","MI","Detroit",59,1282,0.00549019607843137,0.0182684670373312,0.0305466237942122,292238
2017-09-30,"Kern","CA","Bakersfield",60,1282,0.0015625,0.0126382306477093,0.0174603174603175,194915
2017-09-30,"Ventura","CA","Ventura",61,2682,0.00751314800901578,0.0166793025018954,0.0509404388714733,208906
2017-09-30,"Middlesex","NJ","New York",62,2179,0.000459136822773186,0.000459136822773186,0.0278301886792453,215871
2017-09-30,"Gwinnett","GA","Atlanta",63,1456,0.00344589937973811,0.00831024930747922,0.0392576730906495,236432
2017-09-30,"San Francisco","CA","San Francisco",64,4227,0.00118427285646613,0.00427655024946543,-0.037568306010929,145469
2017-09-30,"Baltimore","MD","Baltimore",65,1711,0.00528789659224442,0.0124260355029586,0.0160332541567696,265169
2017-09-30,"Hamilton","OH","Cincinnati",66,1220,0.00411522633744856,0.0149750415973378,0.0260723296888141,234890
2017-09-30,"El Paso","TX","El Paso",67,1001,0.002002002002002,0.00603015075376884,0.002002002002002,193103
2017-09-30,"Montgomery","PA","Philadelphia",68,1894,0.00317796610169492,0.00477453580901857,-0.00158144438587243,249275
2017-09-30,"Worcester","MA","Worcester",69,1716,0.00409596255119953,0.0165876777251185,0.0368580060422961,209912
2017-09-30,"Pierce","WA","Seattle",70,1740,0.00928074245939675,0.0265486725663717,0.0754017305315204,226594
2017-09-30,"Essex","NJ","New York",71,1898,0.0111880660628663,0.0226293103448276,-0.0175983436853002,156488
2017-09-30,"Collin","TX","Dallas-Fort Worth",72,1978,0.00101214574898785,0.00712830957230143,0.0222222222222222,240620
2017-09-30,"Hidalgo","TX","McAllen",73,996,-0.00895522388059702,-0.0301850048685492,-0.0138613861386139,172353
2017-09-30,"Monroe","NY","Rochester",74,1458,0.0069060773480663,0.0146137787056367,0.0325779036827195,210586
2017-09-30,"Essex","MA","Boston",75,2346,-0.00382165605095541,0.00342172797262618,0.0440587449933244,189080
2017-09-30,"Jefferson","KY","Louisville/Jefferson County",76,1217,0.000822368421052632,0.0218303946263644,0.0647419072615923,341420
2017-09-30,"Multnomah","OR","Portland",77,1919,0.000521376433785193,0.00893796004206099,0.0515068493150685,225068
2017-09-30,"Suffolk","MA","Boston",78,2551,0.00117739403453689,-0.00545808966861598,0.0155254777070064,106983
2017-09-30,"Oklahoma","OK","Oklahoma City",79,1032,-0.00193423597678917,-0.00482160077145612,-0.0190114068441065,249605
2017-09-30,"San Mateo","CA","San Francisco",80,3992,-0.00498504486540379,0.000752068187515668,-0.002997002997003,184856
2017-09-30,"Snohomish","WA","Seattle",81,2126,0.00853889943074004,0.0300387596899225,0.0624687656171914,213671
2017-09-30,"Lake","IL","Chicago",82,1867,0.00268528464017186,0.0213347921225383,0.0389538119087368,216282
2017-09-30,"Dekalb","GA","Atlanta",83,1306,0.00461538461538462,0.00849420849420849,0.0549273021001615,205854
2017-09-30,"Cobb","GA","Atlanta",84,1554,0.00712896953985742,0.024390243902439,0.0436534586971122,216589
2017-09-30,"San Joaquin","CA","Stockton",85,1634,0.0105132962275819,0.0225281602002503,0.0589760207388205,159789
2017-09-30,"Will","IL","Chicago",86,1682,0.00238379022646007,0.00178677784395473,0.00178677784395473,243252
2017-09-30,"Jackson","MO","Kansas City",87,1076,0.0141376060320452,0.0346153846153846,0.0717131474103586,217114
2017-09-30,"Norfolk","MA","Boston",88,2489,-0.00280448717948718,-0.00797130330809087,0.0255459414915534,189239
2017-09-30,"Denton","TX","Dallas-Fort Worth",89,1831,0.00218938149972633,0.00992829564258136,0.0183537263626251,186982
2017-09-30,"Bernalillo","NM","Albuquerque",90,1200,0.00166944908180301,0.000834028356964137,-0.00826446280991736,203759
2017-09-30,"Jefferson","AL","Birmingham",91,964,0.00103842159916926,0.00312174817898023,-0.00515995872033024,238641
2017-09-30,"Hudson","NJ","New York",92,2131,0.00329566854990584,0.00566304860783389,-0.0322434150772025,117513
2017-09-30,"Monmouth","NJ","New York",93,2428,-0.00491803278688525,-0.00369306524415265,0.0611888111888112,212662
2017-09-30,"Davidson","TN","Nashville",94,1584,0.000631711939355654,0.00699300699300699,0.0272373540856031,183735
2017-09-30,"Providence","RI","Providence",95,1576,-0.00442198357548958,-0.0056782334384858,-0.0106716886377903,126054
2017-09-30,"Bucks","PA","Philadelphia",96,1927,0.00626631853785901,0.0233669676048858,0.0382543103448276,196301
2017-09-30,"El Paso","CO","Colorado Springs",97,1498,0.00807537012113055,0.026027397260274,0.0792507204610951,195608
2017-09-30,"Baltimore City","MD","Baltimore",98,1287,0.000777604976671851,-0.00155159038013964,-0.0212927756653992,212135
2017-09-30,"Lee","FL","Fort Myers",99,1674,-0.000597014925373134,-0.00119331742243437,0.0170109356014581,302958
2017-09-30,"Tulsa","OK","Tulsa",100,1092,0,-0.000914913083257091,-0.0361871138570168,221741
2017-09-30,"Kent","MI","Grand Rapids",101,1385,0.00289645184648805,0.0297397769516729,0.0452830188679245,194499
2017-09-30,"Polk","FL","Lakeland",102,1233,0.0016246953696182,0.00982800982800983,0.0387531592249368,171823
