"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"South Dorchester","Boston","MA","Boston","Suffolk",47,,,,,,,,,,,,,,,,,1500,1525,1550,1550,1550,1570,1600,1650,1600,1700,1600,1650,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1650,1700,1700,1700,1750,1700,1750,1800,1750,1785,1700,1700,1700,1800,1750,1750,1800,1750,1800,1795,1900,1900,1900,1900,1900,1950,1950,1950,1925,1900,1900,1975,2000,2000,2100,2050,2100,2100,1900,2075,2000,2087.5,2200,2200,2350,2350,2300,2300,2300,2200,2200
"Central Southwest","Houston","TX","Houston","Harris",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1387.5,1350,1360,1390,1375,1375,1350,1350,1395,1400,1400,1450,1450,1425,1400
"Princess Anne","Virginia Beach","VA","Virginia Beach","Virginia Beach City",49,,,,,,,,,,1525,1500,1500,1500,1500,1545,1500,1537.5,1500,1500,1495,1495,1500,1500,1500,1537.5,1550,1575,1575,1550,1537.5,1500,1500,1500,1500,1485,1495,1500,1595,1595,1595,1545,1500,1497,1495,1450,1450,1485,1500,1500,1550,1565,1595,1522.5,1550,1550,1550,1575,1550,1550,1500,1500,1595,1595,1575,1595,1550,1575,1550,1562.5,1595,1550,1550,1550,1575,1585,1562.5,1600,1595,1600,1525,1557.5,1595,1595,1550,1550,1600,1635,1600,1600,1600
"Southeast Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",50,,,,,,,,,,,,,,1095,1095,1050,1072.5,1095,1050,1095,1050,1050,1075,1095,1095,1095,1072.5,1095,1095,1095,1050,1050,1050,1050,1095,1100,1100,1150,1100,1100,1100,1100,1100,1097.5,1095,1095,1095,1095,1095,1100,1100,1100,1100,1100,1150,1122.5,1125,1112.5,1100,1095,1112.5,1150,1195,1200,1200,1150,1150,1150,1175,1195,1150,1195,1175,1195,1247.5,1195,1225,1250,1250,1250,1275,1250,1277,1295,1287.5,1300,1325,1300,1325,1325
"Northwest Raleigh","Raleigh","NC","Raleigh","Wake",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1303,1290,1363,1399,1381,1356.5,1349,1406,1399,1459,1441,1362,1375,1325,1239,1275,1269,1305,1296.5,1339,1395,1425,1440,1444,1433
"Kingwood","Houston","TX","Houston","Harris",52,,,,,,,,,,,,,,,,,,,,,,,,1287.5,1400,1400,1425,1420,1325,1400,1325,1375,1365,1250,1390,1320,1440,1482.5,1300,1462.5,1400,1450,1437.5,1495,1350,1428,1500,1500,1512,1400,1450,1450,1450,1495,1500,1550,1555,1600,1545,1521,1487.5,1600,1650,1617.5,1662.5,1675,1550,1550,1580,1597.5,1550,1625,1578,1595,1530,1600,1562.5,1500,1550,1450,1450,1545,1550,1550,1550,1597,1595,1550,1550,1612.5
"Northeast Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",53,,,,,,,,,,,,,,,,,,,,,,,,1200,1195,1200,1200,1200,1172.5,1185,1150,1200,1194.5,1150,1149,1150,1195,1195,1200,1250,1250,1200,1200,1250,1250,1250,1250,1250,1250,1295,1237.5,1295,1250,1295,1250,1250,1295,1262,1250,1295,1275,1295,1300,1300,1300,1250,1297.5,1285,1300,1312.5,1325,1375,1300,1312.5,1325,1350,1397.5,1395,1350,1350,1350,1395,1350,1400,1475,1500,1450,1400,1500,1500
"Woodward Park","Fresno","CA","Fresno","Fresno",54,,,,,,,,,,,,,,,,,,,,,,,,,,,1357.5,1385,1350,1357.5,1450,1437.5,1437.5,1450,1425,1425,1500,1450,1400,1495,1400,1400,1400,1400,1395,1395,1395,1395,1374.5,1395,1450,1400,1395,1400,1450,1400,1395,1400,1412.5,1400,1400,1437.5,1472.5,1500,1500,1495,1495,1495,1495,1400,1450,1450,1490,1495,1495,1462.5,1495,1500,1450,1495,1500,1535,1500,1512.5,1525,1500,1595,1612.5,1595,1587.5
"Park Slope","New York","NY","New York","Kings",55,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3290,3350,3500,3500,3400,3300,3250,3250,3300,3400,3300,3300,3395,3500,3300,3300,3295,3297.5,3799.5,3950,3799.5,3795,3800,3800,3799,3850,3700,3650,3700,3500,3500,3600,3800,3700,3900,3700,3597,3700,3771.5,3700,3600,3600,3750,3600,3600,3550,3550,3500,3600,3700,3650,3780,3900,3575,3575,3400,3650,3600,3500,3500,3600,3750,3750,3666,3850
"Albany Park","Chicago","IL","Chicago","Cook",56,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1400,1450,1300,1300,1300,1350,1350,1400,1500,1375,1400,1399.5,1500,1600,1550,1450,1400,1475,1485,1500,1500,1500,1500,1500,1550,1500,1550,1500,1425,1425,1425,1485,1495,1575,1600,1600,1600,1650,1650,1600,1575,1507.5,1500,1500,1550,1600,1650,1650,1600,1650,1600,1600,1600,1600,1597.5,1600,1600,1700,1650,1650,1650,1675,1645
"Gramercy","New York","NY","New York","New York",57,,,,,,,,,,,,,,,3995,4247.5,4395,4395,4395,4495,4450,4300,4200,4200,4200,4200,4299,4300,4495,4400,4500,4500,4600,4592.5,4600,4600,4600,4625.5,4600,4650,4650,4600,4680,4650,4750,4650,4650,4695,4650,4500,4695,5295,5275,5201.5,5325,5325,5325,5300,5200,5195,5195,5025,5157,5087.5,5200,5295,5200,5200,5200,5200,5200,5082,5000,5000,5100,4975,5075,5197.5,5325,5037.5,5000,5162,5200,5200,5200,5000,5187,5200,5250,5200
"Archer Heights","Chicago","IL","Chicago","Cook",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,1200,1250,1200,1200,1200,1230,1250,1250,1250,1290,1250,1250,1200
"Bay Ridge","New York","NY","New York","Kings",59,,,,,,,,,,,,,,,,,1875,2000,2200,2000,1950,1875,1850,1900,2000,2100,2000,2100,2300,2200,2100,2100,2300,2200,2050,2200,2200,2000,2200,2300,2300,2300,2300,2400,2400,2250,2300,2200,2200,2200,2300,2300,2400,2500,2300,2300,2300,2300,2300,2350,2500,2500,2500,2500,2500,2500,2400,2400,2400,2400,2350,2400,2500,2400,2500,2500,2400,2500,2500,2500,2500,2500,2500,2400,2400,2500,2500,2500,2450,2500
"Rogers Park","Chicago","IL","Chicago","Cook",60,,,,,,,,,,,,1425,1400,1450,1400,1500,1500,1500,1500,1475,1475,1475,1475,1525,1500,1500,1497.5,1600,1600,1500,1400,1400,1450,1500,1450,1500,1500,1500,1525,1600,1500,1600,1550,1500,1550,1600,1550,1500,1550,1600,1600,1637.5,1625,1595,1550,1550,1500,1537.5,1550,1550,1600,1612.5,1600,1600,1625,1600,1585,1600,1512.5,1600,1600,1600,1625,1650,1750,1650,1775,1750,1600,1625,1650,1675,1650,1650,1750,1797.5,1850,1775,1750,1795
"The Heights","Jersey City","NJ","New York","Hudson",61,,,,,,,,,,,,,,,,1750,1725,1650,1600,1500,1600,1550,1650,1700,1700,1687.5,1700,1750,1700,1700,1700,1700,1700,1700,1700,1650,1800,1750,1800,1700,1650,1750,1650,1500,1600,1800,1800,1800,1800,1900,1900,1800,2000,1750,1697.5,1737.5,1700,1800,1800,1975,1912.5,1950,2000,2050,2025,2125,2100,2100,2100,2125,2150,2000,2100,2150,2200,2150,2075,2150,2150,2000,2100,2200,2150,2100,2200,2250,2200,2200,2300,2300
"Raleigh","Memphis","TN","Memphis","Shelby",62,,,,,,,,,,,,,,,,,,850,810,750,750,750,795,797.5,797.5,862.5,835,795,795,760,750,750,780,795,795,792.5,782.5,775,795,800,805,800,795,812.5,825,825,825,825,825,795,795,795,795,795,795,797.5,825,797.5,795,795,795,797.5,799.5,812.5,795,795,795,775,795,800,837.5,850,825,825,850,875,850,850,850,875,895,867.5,850,795,775,795,825,850,850,850
"Kempsville","Virginia Beach","VA","Virginia Beach","Virginia Beach City",63,,,,,,,,,,1200,1250,1250,1250,1325,1300,1300,1250,1250,1250,1250,1200,1250,1250,1295,1295,1295,1275,1275,1262.5,1295,1295,1295,1250,1295,1272.5,1270,1299,1295,1295,1275,1250,1250,1250,1250,1285,1250,1250,1250,1257.5,1295,1295,1295,1267.5,1295,1295,1300,1300,1297.5,1295,1295,1300,1350,1309,1300,1300,1295,1300,1295,1285,1262.5,1250,1247.5,1252.5,1295,1295,1300,1297.5,1325,1295,1310,1300,1275,1295,1295,1300,1295,1295,1295,1297.5,1300
"Bath Beach","New York","NY","New York","Kings",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1900,1880,1850,1900,1850,1850,1825,1900,1900,1950,2000,1850,2000,2000,2000,2000,2000,2000,2000,2025,2100,2200,2100,2100,2100,2025,2000,2147.5,2200,2100,2000,2100,2075,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
"Centennial Hills","Las Vegas","NV","Las Vegas","Clark",65,,,,,,,,,,1195,1150,1195,1150,1150,1195,1195,1150,1150,1150,1100,1100,1095,1097.5,1095,1095,1092.5,1075,1100,1100,1095,1095,1050,1075,1075,1050,1050,1075,1095,1099.5,1095,1100,1100,1100,1100,1100,1100,1095,1095,1095,1100,1100,1100,1150,1150,1150,1125,1150,1150,1150,1195,1152.5,1195,1175,1195,1150,1175,1195,1162.5,1150,1180,1200,1195,1175,1199,1230,1225,1197,1195,1220,1245,1195,1249,1250,1250,1254.5,1295,1298.5,1295,1295,1295
"Roxbury","Boston","MA","Boston","Suffolk",66,,,,,,,,,,,,,,,,,1595,1575,1585,1595,1595,1625,1650,1675,1800,1800,1862.5,1800,2000,1800,1800,1800,1900,1800,1800,1800,1835,2000,1987.5,2000,2100,1800,1850,1875,1900,1875,2100,2100,2125,2200,2200,2200,2100,2100,2097.5,2195,2195,2400,2400,2450,2450,2400,2400,2400,2400,2400,2200,2200,2400,2500,2625,2625,2550,2600,2600,2500,2600,2500,2400,2200,2300,2600,2700,2700,2700,2650,2625,2595,2500,2475
"Lone Mountain","Las Vegas","NV","Las Vegas","Clark",67,,,,,,,,,,,,,,1100,1100,1150,1100,1100,1100,1075,1075,1095,1050,1050,1095,1097.5,1100,1100,1100,1095,1075,1050,1050,1050,1050,1075,1100,1095,1125,1100,1100,1095,1095,1100,1100,1100,1100,1100,1100,1100,1150,1175,1175,1150,1150,1179.5,1150,1100,1150,1150,1195,1195,1150,1195,1195,1195,1195,1195,1195,1195,1195,1197.5,1200,1200,1200,1220,1200,1195,1175,1200,1215,1200,1250,1267,1277,1295,1295,1295,1295,1295
"Summerlin North","Las Vegas","NV","Las Vegas","Clark",68,,,,,,,,,,,,,,1425,1350,1350,1396.5,1350,1350,1300,1350,1325,1337.5,1312.5,1295,1300,1350,1350,1350,1300,1295,1299.5,1300,1323,1350,1350,1377.5,1350,1350,1350,1350,1350,1350,1350,1362.5,1350,1350,1300,1337.5,1395,1395,1385,1375,1400,1395,1395,1397.5,1395,1450,1400,1450,1400,1400,1395,1445,1400,1401.5,1400,1400,1409,1450,1450,1495,1397.5,1500,1450,1450,1450,1450,1450,1425,1475,1495,1502,1525,1525,1595,1595,1595,1550
"Bayside","New York","NY","New York","Queens",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2000,2100,2200,2300,2300,2200,2200,2199,2199,2200,2200,2275,2300,2400,2400,2300,2300,2300,2300,2300,2300,2300,2300,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2500,2400,2500,2500,2400,2425,2400,2495,2500,2400,2400,2400,2400,2375,2400,2450
"Gresham","Chicago","IL","Chicago","Cook",70,,,,,,,,,,,,,,,,,1050,1000,965,1000,1000,962.5,962.5,950,1000,1050,1100,1100,1100,1200,1050,1000,1030,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1135,1100,1150,1150,1150,1150,1150,1195,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1172.5,1150,1150,1200,1200,1200,1200,1150,1150,1195,1150,1200
"Maspeth","New York","NY","New York","Queens",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2300,2300,2200,2200,2300,2400,2300,2300,2300,2300,2375,2200,2400,2450,2300,2300,2300,2300,2300,2300,2400,2400,2300
"Hamilton Heights","New York","NY","New York","New York",72,,,,,,,,,,,,2350,2350,2400,2450,2450,2400,2250,2397.5,2425,2450,2490,2400,2372.5,2397,2450,2395,2395,2450,2500,2500,2450,2450,2412.5,2495,2412.5,2500,2595,2700,2700,2700,2750,2750,2700,2650,2600,2500,2500,2595,2767.5,2800,2950,3000,2899,3000,3000,3000,3000,2812.5,2750,2699.5,2800,2965,2900,2950,3000,2995,2800,2747.5,2822.5,2997.5,2990,2990,2995,2995,2850,2900,3000,2942.5,2992.5,2850,2862.5,2800,2795,2895,2995,3000,3000,2992.5,2950
"Woodlake - Briarmeadow","Houston","TX","Houston","Harris",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519,1459,1495,1487,1564,1625,1557,1600,1600,1600,1700,1737.5,1820,1750,1800,1750,1750,1750,1750,1695,1744.5,1919.5,1919.5,2000,1850,1800,1750,1839,1701,1550,1789.5,1900,1562.5,1543.5,1400,1650,1673,1739,1850,1895,2010,1967.5,1955,1853.5
"Michael Way","Las Vegas","NV","Las Vegas","Clark",74,,,,,,,,,,,,,,,,975,985,995,950,950,950,925,925,900,995,1000,975,975,950,950,950,975,962.5,995,975,975,995,995,965,950,982.5,975,950,950,950,950,975,980,975,975,950,975,995,985,995,995,995,995,999,995,999,1000,995,1025,997.5,1050,1000,1050,1050,1000,1000,1000,1100,1150,1125,1020,1100,1100,1100,1095,1000,1095,1100,1100,1100,1110,1150,1195,1150,1150
"Chelsea","New York","NY","New York","New York",75,,,,,,,,,,,,,,,,,,,,,,4497.5,4797.5,4800,4900,4850,4990,5000,5000,5000,5000,5000,5100,5000,4995,5100,5195,5250,5290,5295,5295,5295,5101,5299,5300,5000,5000,5250,5395,5495,5595,5550,5500,5500,5362,5500,5500,5495,5500,5400,5595,5700,5747.5,5697.5,5475,5500,5954,5600,5797.5,5825,5800,5750,5700,5750,5597.5,5100.5,5374.5,4995,5400,5347.5,5175,5106,5189,5195,5300,5697.5,5750,5697.5,5450,5495
"Lake View","Chicago","IL","Chicago","Cook",76,,,,,,,,,,,,1999,2000,2025,2100,2100,2100,2100,2100,2000,1995,2000,2100,2200,2275,2245,2350,2250,2295,2397.5,2400,2400,2400,2350,2395,2200,2395,2500,2500,2500,2400,2450,2350,2300,2350,2462.5,2500,2550,2550,2555,2545,2450,2400,2400,2400,2450,2495,2400,2400,2350,2475,2595,2597.5,2575,2495,2450,2450,2400,2450,2595,2700,2650,2595,2595,2600,2550,2455,2475,2495,2265,2550,2400,2500,2600,2595,2600,2600,2600,2600,2595
"Englewood","Chicago","IL","Chicago","Cook",77,,,,,,,,,,,,,,,,1000,1050,1100,1050,1100,1100,1075,1100,1000,1100,1100,1100,1100,1100,1100,1100,1075,1050,1025,1050,1100,995,1000,1000,1100,1050,1050,1050,1000,1000,1050,1050,1050,1050,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1000,1100,1100,1100,1100,1100,1100,1100,1075,1100,1100,1100,1100,1100,1100,1150,1000,1100,1100,1100,1100,1100,1100,1075,1100,1095,1100
"Woodland Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",78,,,,,,,,,,,,2900,2700,2700,2500,2595,2597,2472.5,2500,2500,2422.5,2347.5,2625,2500,2482.5,2800,2660,2650,2650,2675,2590,2499,2657,2500,2415,2402.5,2650,2650,2700,2350,2487.5,2900,2950,2995,2999,2800,2795,2825,2800,2700,2999.5,3017.5,2947.5,3000,2950,2900,2852,2922.5,2984,2999.5,2925,2999.5,2950,3100,3000,2999.5,2975,3137,3167.5,3500,3235,3025,2995,3350,3287,3130,3300,3425,3110,3000,2999,3000,3000,3028,3200,3239.5,3351,3400,3339,3200
"Oak Lawn","Dallas","TX","Dallas-Fort Worth","Dallas",79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3381,3500,3100,3497.5,2995,3500,3467.5,3300,3197,3165,3200,3033,3275,3483
"Greater Uptown","Houston","TX","Houston","Harris",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2772.5,2795,2500,2500,2600,2400,2350,2500,2500,2515,2500,2697.5,2750,2550,2500,2578,2597,2590.5,2500,2419.5,2495,2439,2442,2335,2430,2297.5,2200,2400,2283,2495,2400,2499.5,2742,2436,2400,2364,2328,2400
"Valencia","Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",81,,,,,,,,,,,,,,,,,,,,,2225,2322.5,2450,2297.5,2200,2195,2300,2400,2280,2240,2165,2160,2100,2100,2100,2195,2297.5,2300,2215,2300,2300,2350,2375,2383,2350,2350,2355,2377,2399.5,2400,2400,2395,2400,2450,2400,2400,2450,2450,2450,2450,2462.5,2475,2462.5,2450,2515,2475,2495,2498,2495,2462,2500,2595,2550,2425,2550,2600,2697.5,2550,2550,2595,2594,2650,2610,2675,2600,2700,2700,2700,2700,2700
"Carmel Valley","San Diego","CA","San Diego","San Diego",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795,2800,2772.5,2900,2995,2907.5,2975,2977.5,2995,3015,2967.5,2995,3000,2955,2845,2835,2900,2950,3000,3040,3170,3085,2905,3000,3000,3150,3257.5,3217.5,3197.5,3195,3200,3105,3005,3245,3127.5,3200,3230,3056,3172.5,3195,3225,3400,3445,3385,3300,3298,3360
"Oak Forest - Garden Oaks","Houston","TX","Houston","Harris",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1900,1850,1800,1799,1771.5,1755,1725,1760,1760,1796.5,1795,1798,1799,1879,1837.5,1777.5,1675,1798.5,1800,1800,1798,1767.5,1750,1862.5,1850,1850,1800,1755,1841.5,1760,1798,1783,1697.5,1683,1730,1760,1795,1800,1795,1750
"Parkway Village-Oakhaven","Memphis","TN","Memphis","Shelby",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,800,812.5,825,795,795,825,825,825,825,795,825,825,850,850,850,850,825,827,850,825,850,850,825,850,847,800,800,795,825,825,825,832,800,795,795,795,800,820,850,875,850,850,837.5,825,825,795,850,825,850,850,825,825,825,825,825,825,825
"East Boston","Boston","MA","Boston","Suffolk",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1650,1700,1900,2060,2030,2225,2350,2375,2200,2100,2000,2040,2000,2000,2080,2200,2187.5,2200,2100,2100,2100,2100,2100,2200,2200,2350,2300,2300,2300,2250,2250,2200,2200,2250,2200,2350,2400,2350,2300,2300,2375,2300,2350,2300,2250,2350,2463,2475,2450,2450,2450,2500,2500,2500,2500,2450
"Ocean Hill","New York","NY","New York","Kings",86,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1700,1700,1700,1832,2000,1825,1750,1750,1750,1700,1725,1850,1995.5,1900,2000,2097.5,2000,2000,1937.5,1991,1991,1991,2000,2100,2095,2199,2200,2150,2100,2200,2095,2099,2100,2099,2225,2200,2300,2300,2300,2300,2250,2250,2249,2300,2400,2400,2300,2399,2325,2200,2350,2400,2350,2399,2300,2272.5,2295,2400,2424,2400,2385,2445,2400
"Greater Heights","Houston","TX","Houston","Harris",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2395,2395,2395,2425,2750,2747.5,2450,2395,2650,2395,2500,2500,2600,2800,2800,2775,2700,2600,2795,2675,2787.5,2872.5,2850,2900,2900,2795,2800,2795,2775,2800,2700,2600,2750,2700,2700,2700,2750,2770,2650,2650,2600,2695,2800,2572.5,2574.5,2500,2600,2485,2500,2500,2600,2597.5,2550,2600
"South Shore","Chicago","IL","Chicago","Cook",88,,,,,,,,,,,,,,,,1097.5,1095,1125,1072.5,1075,1100,1200,1150,1150,1150,1050,1100,1100,1100,1100,1000,1030,1040,1050,1100,1100,1100,1075,1050,1050,1095,1095,1080,1077.5,1050,1058,1100,1058,1100,1100,1100,1100,1100,1085,1100,1100,1100,1150,1140,1100,1100,1100,1100,1100,1119.5,1150,1150,1150,1150,1150,1150,1200,1200,1119.5,1100,1175,1200,1150,1150,1150,1150,1200,1162.5,1200,1200,1151,1175,1200,1200,1200
"Jamaica Plain","Boston","MA","Boston","Suffolk",89,,,,,,,,,,,,,,,,,,,,,2100,2400,2100,2200,2200,2200,2250,2300,2375,2325,2300,2300,2500,2500,2400,2400,2400,2400,2500,2500,2500,2400,2400,2300,2400,2500,2500,2500,2500,2600,2600,2600,2500,2472.5,2495,2495,2500,2800,2700,2700,2700,2750,2750,2700,2600,2600,2497.5,2495,2600,2700,2795,2800,2800,2800,2795,2750,2750,2700,2600,2400,2600,2850,2900,2900,2895,2900,2900,2900,2850,2795
"Brighton","Boston","MA","Boston","Suffolk",90,,,,,,,,,,,1997.5,2150,2150,2150,2100,2100,2137.5,2250,2250,2200,2250,2250,2200,2300,2300,2300,2300,2300,2300,2350,2350,2371,2397,2400,2400,2400,2400,2400,2400,2400,2400,2400,2495,2500,2495,2475,2500,2520,2550,2550,2550,2550,2500,2500,2475,2500,2495,2500,2500,2545,2550,2550,2595,2595,2500,2500,2500,2500,2500,2600,2600,2699,2650,2700,2699.5,2675,2650,2625,2600,2500,2500,2655,2700,2750,2800,2800,2800,2795,2750,2700
"Dyker Heights","New York","NY","New York","Kings",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,2000,2000,2000,2100,2050,2000,2000,1900,2000,2100,2100,2200,2150,2200,2100,2200,2150,2200,2100,2196.5,2200,2200,2200,2200,2250,2200,2200,2200,2200,2200,2200,2200,2200,2200,2300,2300,2350,2300,2300,2300,2300,2400,2400,2300,2300,2499,2400,2300,2300
"Bayside","Virginia Beach","VA","Virginia Beach","Virginia Beach City",92,,,,,,,,,,1200,1229.5,1295,1295,1350,1450,1437.5,1399.5,1399.5,1350,1350,1272.5,1272.5,1350,1300,1300,1325,1399.5,1350,1295,1295,1250,1250,1250,1300,1295,1300,1297.5,1300,1470,1397.5,1350,1312.5,1300,1295,1295,1240,1250,1275,1295,1300,1372.5,1450,1395,1362.5,1350,1377.5,1375,1350,1299,1297.5,1312.5,1450,1400,1375,1395,1367.5,1300,1295,1324.5,1295,1275,1295,1325,1400,1400,1447.5,1465,1380,1400,1312.5,1427.5,1450,1495,1450,1400,1400,1550,1485,1400,1385
"Green Valley North","Henderson","NV","Las Vegas","Clark",93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1295,1344,1300,1385,1322.5,1350,1350,1350,1400,1400,1400,1399.5,1398,1300
"Humboldt Park","Chicago","IL","Chicago","Cook",94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1600,1600,1700,1695,1675,1650,1575,1500,1585,1772.5,1800,1885,1700,1785,1750,1650,1495,1595,1667.5,1670,1650,1582.5,1700,1700,1645,1675,1750,1800
"North Cheyenne","Las Vegas","NV","Las Vegas","Clark",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192.5,1195,1172.5,1197,1250,1250,1250,1250,1279,1250,1225,1250
"Lake View East","Chicago","IL","Chicago","Cook",96,,,,,,,,,,,2540,2450,2450,2450,2450,2450,2480,2500,2545,2600,2475,2600,2500,2500,2435,2600,2575,2460,2750,2850,2850,2850,2850,2850,2850,2750,2750,2620,2475,2600,2600,2510,2550,2520,2500,2400,2395,2395,2395,2500,2500,2400,2400,2400,2400,2400,2500,2500,2500,2345,2495,2600,2590,2600,2500,2500,2500,2500,2525,2600,2719,2700,2700,2744,2750,2700,2650,2600,2544,2467,2467,2400,2500,2600,2580,2700,2882,2850,2800,2695
"South Boston","Boston","MA","Boston","Suffolk",97,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3000,3250,3300,3250,3100,3032.5,3000,3000,3000,3200,3000,3225,3300,3300,3300,3200,3300,3200,3300,3300,3300,3300,3300,3300,3300,3450,3300,3300,3000,3000,3000,3100,3200,3350,3300,3300,3300,3300,3362.5,3400,3295,3245,3300,3425,3500,3400,3400,3500,3500,3495,3600,3500,3300,3500,3300,3500,3500,3600,3600,3600,3600,3600,3600,3600
"Cobbs Creek","Philadelphia","PA","Philadelphia","Philadelphia",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,997.5,1050,1100,1100,1125,1100,1100,1100,1100,1100
"Shelby Forest-Frayser","Memphis","TN","Memphis","Shelby",99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.5,650,675,695,695,695,695,675,675,675,650,650,650,650,675,675,675,675,675,675,675,675,675,655,665,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,675,675,675,650,650,650,650,650,662.5,675,650,675,675,675,667.5,650,650,650
"Whitestone","New York","NY","New York","Queens",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,2100,2100,2000,2000,1975,2200,2050,2100,1950,2000,2150,2200,2000,2100,2100,2000,2000,2102.5,2200,2300,2200,2200,2200,2200,2150,2200,2300,2300,2300,2300,2300,2300,2300,2300,2250,2300,2300,2300,2300,2300,2300,2400,2350,2300,2375,2425,2400,2400,2400,2350,2350,2300,2350,2400,2350,2375
"Whitney","Las Vegas","NV","Las Vegas","Clark",101,,,,,,,,,,,,,,,1100,1050,1050,1050,1000,975,995,995,995,995,995,995,999.5,995,995,995,995,990.5,981.5,975,995,999,1000,1000,990.5,1000,1000,1000,995,995,995,1000,995,995,995,1000,1000,1000,1050,1050,1017.5,1000,1050,1050,1008.5,1050,1025,1030,1050,1095,1062.5,1050,1050,1000,1000,1050,1072.5,1097.5,1095,1150,1150,1150,1100,1062.5,1100,1150,1072.5,1075,1150,1150,1175,1150,1137,1195,1195,1199
